ID,Vehicle,Owner,Status
P001,Car,Ali,IN
P002,Bike,Ahmed,OUT
P003,Car,Sara,IN
P004,Bike,Zain,OUT
P005,Car,Usman,IN
P006,Bike,Ali,OUT
P007,Car,Ahmed,IN
P008,Bike,Sara,OUT
P009,Car,Zain,IN
P010,Bike,Usman,OUT
P011,Car,Ali,IN
P012,Bike,Ahmed,OUT
P013,Car,Sara,IN
P014,Bike,Zain,OUT
P015,Car,Usman,IN
P016,Bike,Ali,OUT
P017,Car,Ahmed,IN
P018,Bike,Sara,OUT
P019,Car,Zain,IN
P020,Bike,Usman,OUT
P021,Car,Ali,IN
P022,Bike,Ahmed,OUT
P023,Car,Sara,IN
P024,Bike,Zain,OUT
P025,Car,Usman,IN
P026,Bike,Ali,OUT
P027,Car,Ahmed,IN
P028,Bike,Sara,OUT
P029,Car,Zain,IN
P030,Bike,Usman,OUT
P031,Car,Ali,IN
P032,Bike,Ahmed,OUT
P033,Car,Sara,IN
P034,Bike,Zain,OUT
P035,Car,Usman,IN
P036,Bike,Ali,OUT
P037,Car,Ahmed,IN
P038,Bike,Sara,OUT
P039,Car,Zain,IN
P040,Bike,Usman,OUT
P041,Car,Ali,IN
P042,Bike,Ahmed,OUT
P043,Car,Sara,IN
P044,Bike,Zain,OUT
P045,Car,Usman,IN
P046,Bike,Ali,OUT
P047,Car,Ahmed,IN
P048,Bike,Sara,OUT
P049,Car,Zain,IN
P050,Bike,Usman,OUT
P051,Car,Ali,IN
P052,Bike,Ahmed,OUT
P053,Car,Sara,IN
P054,Bike,Zain,OUT
P055,Car,Usman,IN
P056,Bike,Ali,OUT
P057,Car,Ahmed,IN
P058,Bike,Sara,OUT
P059,Car,Zain,IN
P060,Bike,Usman,OUT
P061,Car,Ali,IN
P062,Bike,Ahmed,OUT
P063,Car,Sara,IN
P064,Bike,Zain,OUT
P065,Car,Usman,IN
P066,Bike,Ali,OUT
P067,Car,Ahmed,IN
P068,Bike,Sara,OUT
P069,Car,Zain,IN
P070,Bike,Usman,OUT
P071,Car,Ali,IN
P072,Bike,Ahmed,OUT
P073,Car,Sara,IN
P074,Bike,Zain,OUT
P075,Car,Usman,IN
P076,Bike,Ali,OUT
P077,Car,Ahmed,IN
P078,Bike,Sara,OUT
P079,Car,Zain,IN
P080,Bike,Usman,OUT
P081,Car,Ali,IN
P082,Bike,Ahmed,OUT
P083,Car,Sara,IN
P084,Bike,Zain,OUT
P085,Car,Usman,IN
P086,Bike,Ali,OUT
P087,Car,Ahmed,IN
P088,Bike,Sara,OUT
P089,Car,Zain,IN
P090,Bike,Usman,OUT
P091,Car,Ali,IN
P092,Bike,Ahmed,OUT
P093,Car,Sara,IN
P094,Bike,Zain,OUT
P095,Car,Usman,IN
P096,Bike,Ali,OUT
P097,Car,Ahmed,IN
98,rikshaw,shariq,out
P099,Car,Zain,IN
P100,Bike,Usman,OUT
